account_id,name,account_type,bank,opened_days_ago,kyc_level,owner_entity
ACC00073,Harpreet Agarwal,PERSONAL,BANK_A,51,MEDIUM,ENT00036
ACC00074,Mary Bose,PERSONAL,BANK_A,58,MEDIUM,ENT00034
ACC00075,Sowmya Sidhu,PERSONAL,BANK_A,46,MEDIUM,ENT00039
ACC00076,Manoj Patel,PERSONAL,BANK_A,48,LOW,ENT00038
ACC00077,Anita Tiwari,PERSONAL,BANK_B,50,HIGH,ENT00054
ACC00078,Sowmya Sidhu,PERSONAL,BANK_A,54,LOW,ENT00039
ACC00079,Sunil Mukherjee,PERSONAL,BANK_B,13,MEDIUM,ENT00035
ACC00080,Vasantha Reddy,PERSONAL,BANK_A,26,MEDIUM,ENT00053
ACC00081,Nithya Shah,PERSONAL,BANK_B,5,HIGH,ENT00049
ACC00082,Vasantha Reddy,PERSONAL,BANK_A,32,HIGH,ENT00053
ACC00083,Swati Agarwal,PERSONAL,BANK_B,55,MEDIUM,ENT00048
ACC00084,Padma Kumar,PERSONAL,BANK_B,58,LOW,ENT00051
ACC00085,Swati Agarwal,PERSONAL,BANK_A,47,MEDIUM,ENT00048
ACC00086,Nisha Das,PERSONAL,BANK_A,11,MEDIUM,ENT00042
ACC00087,Irfan Gill,PERSONAL,BANK_A,41,MEDIUM,ENT00047
ACC00088,Ashok Dubey,PERSONAL,BANK_B,54,HIGH,ENT00050
ACC00089,Dinesh Malhotra,PERSONAL,BANK_A,17,MEDIUM,ENT00041
ACC00090,Neha Desai,PERSONAL,BANK_B,33,MEDIUM,ENT00045
ACC00091,Irfan Gill,PERSONAL,BANK_A,30,MEDIUM,ENT00047
ACC00092,Mary Bose,PERSONAL,BANK_A,50,LOW,ENT00034
ACC00093,Arun Reddy,PERSONAL,BANK_A,58,HIGH,ENT00046
ACC00094,Padma Yadav,PERSONAL,BANK_B,18,HIGH,ENT00044
ACC00095,Anita Tiwari,PERSONAL,BANK_A,59,MEDIUM,ENT00054
ACC00096,Ashok Dubey,PERSONAL,BANK_B,18,MEDIUM,ENT00050
ACC00097,Padma Kumar,PERSONAL,BANK_A,18,HIGH,ENT00051
ACC00098,Arun Reddy,PERSONAL,BANK_A,52,MEDIUM,ENT00046
ACC00099,Nisha Das,PERSONAL,BANK_A,48,MEDIUM,ENT00042
ACC00100,Prakash Patel,PERSONAL,BANK_A,21,MEDIUM,ENT00043
ACC00101,Manoj Patel,PERSONAL,BANK_A,56,MEDIUM,ENT00038
ACC00102,Zubair Naidu,PERSONAL,BANK_B,50,MEDIUM,ENT00052
ACC00103,Padma Yadav,PERSONAL,BANK_A,47,MEDIUM,ENT00044
ACC00104,Sneha Ahmed,PERSONAL,BANK_A,32,LOW,ENT00040
ACC00105,Kalpana Ghosh,PERSONAL,BANK_A,43,MEDIUM,ENT00037
ACC00106,Malhotra Fashions,BUSINESS,BANK_B,22,MEDIUM,ENT00041
ACC00107,Ajay Mehta,PERSONAL,BANK_A,68,MEDIUM,ENT00056
ACC00108,Sunita Jain,PERSONAL,BANK_B,22,LOW,ENT00055
ACC00109,Padma Malhotra,PERSONAL,BANK_B,38,MEDIUM,ENT00057
ACC00110,Sunita Jain,PERSONAL,BANK_B,71,LOW,ENT00055
ACC00111,Ajay Mehta,PERSONAL,BANK_A,44,MEDIUM,ENT00056
ACC00112,Anita Sandhu,PERSONAL,BANK_B,42,LOW,ENT00060
ACC00113,Suresh Kaur,PERSONAL,BANK_A,21,MEDIUM,ENT00059
ACC00114,Suresh Kaur,PERSONAL,BANK_B,46,MEDIUM,ENT00059
ACC00115,Rekha Kapoor,PERSONAL,BANK_B,82,MEDIUM,ENT00058
ACC00116,Rekha Kapoor,PERSONAL,BANK_B,78,MEDIUM,ENT00058
ACC00117,Anita Sandhu,PERSONAL,BANK_B,59,MEDIUM,ENT00060
ACC00118,Gopal Kapoor,PERSONAL,BANK_A,54,MEDIUM,ENT00063
ACC00119,Sandeep Desai,PERSONAL,BANK_B,48,MEDIUM,ENT00061
ACC00120,Kiran Tiwari,PERSONAL,BANK_B,27,MEDIUM,ENT00062
ACC00121,Kiran Tiwari,PERSONAL,BANK_B,70,HIGH,ENT00062
ACC00122,Swati Sengupta,PERSONAL,BANK_A,44,LOW,ENT00064
ACC00123,Swati Sengupta,PERSONAL,BANK_A,71,LOW,ENT00064
ACC00124,Sandeep Desai,PERSONAL,BANK_B,64,HIGH,ENT00061
ACC00125,Gopal Kapoor,PERSONAL,BANK_A,63,HIGH,ENT00063
ACC00126,Zubair Kaur,PERSONAL,BANK_A,65,MEDIUM,ENT00066
ACC00127,Vinod Bose,PERSONAL,BANK_A,180,HIGH,ENT00069
ACC00128,Zubair Kaur,PERSONAL,BANK_A,132,MEDIUM,ENT00066
ACC00129,Aarti Kapoor,PERSONAL,BANK_A,82,MEDIUM,ENT00070
ACC00130,Radha Bhatt,PERSONAL,BANK_A,440,LOW,ENT00067
ACC00131,Vinod Bose,PERSONAL,BANK_A,146,MEDIUM,ENT00069
ACC00132,Irfan Gill,PERSONAL,BANK_A,82,MEDIUM,ENT00065
ACC00133,Radha Bhatt,PERSONAL,BANK_A,431,MEDIUM,ENT00067
ACC00134,Irfan Chatterjee,PERSONAL,BANK_A,371,MEDIUM,ENT00068
ACC00135,Irfan Chatterjee,PERSONAL,BANK_A,245,MEDIUM,ENT00068
ACC00136,Gill Distributors,BUSINESS,BANK_A,417,MEDIUM,ENT00065
ACC00137,Imran Sandhu,PERSONAL,BANK_B,431,MEDIUM,ENT00076
ACC00138,Sunita Yadav,PERSONAL,BANK_B,294,MEDIUM,ENT00072
ACC00139,Geeta Verma,PERSONAL,BANK_B,124,MEDIUM,ENT00071
ACC00140,Ajay Saxena,PERSONAL,BANK_B,325,MEDIUM,ENT00074
ACC00141,Manpreet Khan,PERSONAL,BANK_B,60,HIGH,ENT00073
ACC00142,Geeta Verma,PERSONAL,BANK_B,173,MEDIUM,ENT00071
ACC00143,Ajay Saxena,PERSONAL,BANK_B,448,MEDIUM,ENT00074
ACC00144,Sunita Yadav,PERSONAL,BANK_B,137,HIGH,ENT00072
ACC00145,Kavita Rao,PERSONAL,BANK_B,488,LOW,ENT00075
ACC00146,Manpreet Khan,PERSONAL,BANK_B,84,HIGH,ENT00073
ACC00147,Rao Retail,BUSINESS,BANK_B,149,MEDIUM,ENT00075
ACC00148,Dubey Pharma,BUSINESS,BANK_A,3135,HIGH,ENT00077
ACC00149,Kalpana Patel,PERSONAL,BANK_B,2148,MEDIUM,ENT00078
ACC00150,Patel Hardware,BUSINESS,BANK_B,2985,MEDIUM,ENT00078
ACC00151,Vinod Jain,PERSONAL,BANK_A,1559,MEDIUM,ENT00079
ACC00152,Jain Overseas,BUSINESS,BANK_A,1679,MEDIUM,ENT00079
ACC00153,Sabiha Malik,PERSONAL,BANK_B,3030,MEDIUM,ENT00080
ACC00154,Priya Pillai,PERSONAL,BANK_A,2114,MEDIUM,ENT00081
ACC00155,Pillai Foods,BUSINESS,BANK_B,2754,MEDIUM,ENT00081
ACC00156,Joseph Nair,PERSONAL,BANK_B,1002,MEDIUM,ENT00082
ACC00157,Divya Pandey,PERSONAL,BANK_A,1059,LOW,ENT00083
ACC00158,Ritu Malhotra,PERSONAL,BANK_A,2107,MEDIUM,ENT00084
ACC00159,Pillai & Sons Textiles,BUSINESS,BANK_A,1507,MEDIUM,ENT00085
ACC00160,Ravi Nair,PERSONAL,BANK_A,525,MEDIUM,ENT00086
ACC00161,Nair Enterprises,BUSINESS,BANK_A,2577,MEDIUM,ENT00086
ACC00162,Swati Iyer,PERSONAL,BANK_B,3451,LOW,ENT00087
ACC00163,Ramesh Saxena,PERSONAL,BANK_B,3630,MEDIUM,ENT00088
ACC00164,Saxena Motors,BUSINESS,BANK_B,3461,MEDIUM,ENT00088
ACC00165,Gill Exports,BUSINESS,BANK_B,2655,MEDIUM,ENT00089
ACC00166,Faisal Das,PERSONAL,BANK_B,1205,MEDIUM,ENT00090
ACC00167,Muthu Bose,PERSONAL,BANK_B,2063,HIGH,ENT00091
ACC00168,Imran Kaur,PERSONAL,BANK_A,710,MEDIUM,ENT00092
ACC00169,Mukherjee Fashions,BUSINESS,BANK_B,2475,LOW,ENT00093
ACC00170,Gopal Saxena,PERSONAL,BANK_A,2590,MEDIUM,ENT00094
ACC00171,Sengupta Retail,BUSINESS,BANK_A,2388,MEDIUM,ENT00095
ACC00172,Harish Kaur,PERSONAL,BANK_A,3645,MEDIUM,ENT00096
ACC00173,Kaur Agro Industries,BUSINESS,BANK_A,2038,LOW,ENT00096
ACC00174,Thomas Dhillon,PERSONAL,BANK_B,892,MEDIUM,ENT00097
ACC00175,Amandeep Tiwari,PERSONAL,BANK_B,2562,LOW,ENT00098
ACC00176,Tiwari Pharma,BUSINESS,BANK_A,2003,MEDIUM,ENT00098
ACC00177,Radha Pillai & Sons,PERSONAL,BANK_B,1259,MEDIUM,ENT00099
ACC00178,Rahul Ahmed,PERSONAL,BANK_B,415,MEDIUM,ENT00100
ACC00179,Aarti Bansal,PERSONAL,BANK_B,90,MEDIUM,ENT00101
ACC00180,Bansal Logistics,BUSINESS,BANK_A,2189,MEDIUM,ENT00101
ACC00181,Priya Varghese,PERSONAL,BANK_B,941,HIGH,ENT00102
ACC00182,Desai Enterprises,BUSINESS,BANK_A,2202,HIGH,ENT00103
ACC00183,Kavita Das,PERSONAL,BANK_A,1872,HIGH,ENT00104
ACC00184,Dhillon Distributors,BUSINESS,BANK_B,2791,MEDIUM,ENT00105
ACC00185,Pankaj Ahmed,PERSONAL,BANK_A,2472,LOW,ENT00106
ACC00186,Kiran Khan,PERSONAL,BANK_B,2651,MEDIUM,ENT00107
ACC00187,Gurpreet Banerjee,PERSONAL,BANK_B,2999,HIGH,ENT00108
ACC00188,Ravi Sandhu,PERSONAL,BANK_A,377,MEDIUM,ENT00109
ACC00189,Kavita Agarwal,PERSONAL,BANK_B,805,MEDIUM,ENT00110
ACC00190,Ritu Chatterjee,PERSONAL,BANK_A,3396,MEDIUM,ENT00111
ACC00191,Chatterjee Foods,BUSINESS,BANK_B,2547,LOW,ENT00111
ACC00192,Susan Ansari,PERSONAL,BANK_B,620,MEDIUM,ENT00112
ACC00193,Ansari Enterprises,BUSINESS,BANK_B,3095,MEDIUM,ENT00112
ACC00194,Shobha Pillai & Sons,PERSONAL,BANK_A,1218,HIGH,ENT00113
ACC00195,Susan Bose,PERSONAL,BANK_B,336,MEDIUM,ENT00114
ACC00196,Gaurav Menon,PERSONAL,BANK_A,2324,MEDIUM,ENT00115
ACC00197,Thomas Bansal,PERSONAL,BANK_A,1723,MEDIUM,ENT00116
ACC00198,Imran Das,PERSONAL,BANK_A,608,HIGH,ENT00117
ACC00199,Das Logistics,BUSINESS,BANK_B,3259,MEDIUM,ENT00117
ACC00200,Verma Exports,BUSINESS,BANK_B,1808,MEDIUM,ENT00118
ACC00201,Ramesh Chatterjee,PERSONAL,BANK_B,3342,LOW,ENT00119
ACC00202,Chatterjee Distributors,BUSINESS,BANK_A,3522,MEDIUM,ENT00119
ACC00203,Chatterjee Infotech,BUSINESS,BANK_B,1853,LOW,ENT00119
ACC00204,Nisha Chatterjee,PERSONAL,BANK_A,1133,HIGH,ENT00120
ACC00205,Faisal Chatterjee,PERSONAL,BANK_A,2323,MEDIUM,ENT00121
ACC00206,Ramesh Sengupta,PERSONAL,BANK_A,3377,MEDIUM,ENT00122
ACC00207,Sengupta Distributors,BUSINESS,BANK_A,2118,HIGH,ENT00122
ACC00208,Khan Enterprises,BUSINESS,BANK_A,1742,HIGH,ENT00123
ACC00209,Amit Saxena,PERSONAL,BANK_A,2140,HIGH,ENT00124
ACC00210,Gaurav Desai,PERSONAL,BANK_A,365,MEDIUM,ENT00125
ACC00211,Ghosh Infotech,BUSINESS,BANK_A,2617,MEDIUM,ENT00126
ACC00212,Gurpreet Yadav,PERSONAL,BANK_B,3034,MEDIUM,ENT00127
ACC00213,Kritika Chauhan,PERSONAL,BANK_A,590,HIGH,ENT00128
ACC00214,Priya Trivedi,PERSONAL,BANK_B,3028,MEDIUM,ENT00129
ACC00215,Rajesh Agarwal,PERSONAL,BANK_A,1893,HIGH,ENT00130
ACC00216,Aarti Shah,PERSONAL,BANK_B,1788,LOW,ENT00131
ACC00217,Anita Pillai,PERSONAL,BANK_A,1985,MEDIUM,ENT00132
ACC00218,Vikram Dubey,PERSONAL,BANK_B,1176,LOW,ENT00133
ACC00219,Padma Chauhan,PERSONAL,BANK_A,115,MEDIUM,ENT00134
ACC00220,Zubair Kaur,PERSONAL,BANK_A,3044,MEDIUM,ENT00135
ACC00221,Kaur Constructions,BUSINESS,BANK_B,3644,MEDIUM,ENT00135
ACC00222,Zubair Malhotra,PERSONAL,BANK_A,3006,MEDIUM,ENT00136
ACC00223,Malhotra Foods,BUSINESS,BANK_B,3637,MEDIUM,ENT00136
ACC00224,Malhotra Logistics,BUSINESS,BANK_A,2387,HIGH,ENT00136
ACC00225,Swati Iyer,PERSONAL,BANK_B,2644,MEDIUM,ENT00137
ACC00226,Neha Bose,PERSONAL,BANK_B,664,HIGH,ENT00138
ACC00227,Jaspreet Qureshi,PERSONAL,BANK_B,1778,MEDIUM,ENT00139
ACC00228,Harish Thomas,PERSONAL,BANK_A,3458,HIGH,ENT00140
ACC00229,Thomas Enterprises,BUSINESS,BANK_A,1988,LOW,ENT00140
ACC00230,Thomas Traders,BUSINESS,BANK_A,3165,MEDIUM,ENT00140
ACC00231,Sanjay Agarwal,PERSONAL,BANK_A,1895,MEDIUM,ENT00141
ACC00232,Agarwal Textiles,BUSINESS,BANK_B,471,MEDIUM,ENT00141
ACC00233,Srinivas Ghosh,PERSONAL,BANK_B,1067,MEDIUM,ENT00142
ACC00234,Ghosh Foods,BUSINESS,BANK_B,1760,MEDIUM,ENT00142
ACC00235,Sneha Agarwal,PERSONAL,BANK_A,1201,MEDIUM,ENT00143
ACC00236,Imran Iyer,PERSONAL,BANK_A,1962,MEDIUM,ENT00144
ACC00237,Iyer Fashions,BUSINESS,BANK_B,1136,MEDIUM,ENT00144
ACC00238,Iyer Electronics,BUSINESS,BANK_A,1546,LOW,ENT00144
ACC00239,Faisal Naidu,PERSONAL,BANK_A,200,MEDIUM,ENT00145
ACC00240,Naidu Electronics,BUSINESS,BANK_B,2331,HIGH,ENT00145
ACC00241,Neha Malik,PERSONAL,BANK_B,429,MEDIUM,ENT00146
ACC00242,Malik Foods,BUSINESS,BANK_A,2985,HIGH,ENT00146
ACC00243,Usha Tiwari,PERSONAL,BANK_A,1584,HIGH,ENT00147
ACC00244,Tiwari Logistics,BUSINESS,BANK_B,238,HIGH,ENT00147
ACC00245,Harleen Mukherjee,PERSONAL,BANK_A,2719,MEDIUM,ENT00148
ACC00246,Manoj Reddy,PERSONAL,BANK_A,2045,MEDIUM,ENT00149
ACC00247,Reddy Enterprises,BUSINESS,BANK_A,1835,MEDIUM,ENT00149
ACC00248,Radha Das,PERSONAL,BANK_B,824,MEDIUM,ENT00150
ACC00249,Das Motors,BUSINESS,BANK_B,2216,MEDIUM,ENT00150
ACC00250,Ravi Menon,PERSONAL,BANK_A,825,MEDIUM,ENT00151
ACC00251,Vijay Iyer,PERSONAL,BANK_A,2904,MEDIUM,ENT00152
ACC00252,Mukherjee Logistics,BUSINESS,BANK_B,1799,MEDIUM,ENT00153
ACC00253,Venkatesh Singh,PERSONAL,BANK_B,3003,LOW,ENT00154
ACC00254,Singh Hardware,BUSINESS,BANK_B,890,MEDIUM,ENT00154
ACC00255,Harish Sengupta,PERSONAL,BANK_A,2910,HIGH,ENT00155
ACC00256,Irfan Pandey,PERSONAL,BANK_B,3044,MEDIUM,ENT00156
ACC00257,Pandey Fashions,BUSINESS,BANK_B,169,MEDIUM,ENT00156
ACC00258,Naidu Agro Industries,BUSINESS,BANK_A,1378,MEDIUM,ENT00157
ACC00259,Srinivas Ahmed,PERSONAL,BANK_B,2179,MEDIUM,ENT00158
ACC00260,Joseph Saxena,PERSONAL,BANK_A,605,MEDIUM,ENT00159
ACC00261,Imran Khan,PERSONAL,BANK_A,2276,MEDIUM,ENT00160
ACC00262,Khan Pharma,BUSINESS,BANK_A,562,MEDIUM,ENT00160
ACC00263,Jaspreet Kapoor,PERSONAL,BANK_B,2958,MEDIUM,ENT00161
ACC00264,Kapoor Distributors,BUSINESS,BANK_A,3485,MEDIUM,ENT00161
ACC00265,Kapoor Distributors,BUSINESS,BANK_A,2460,MEDIUM,ENT00161
ACC00266,Zeenat Bhatt,PERSONAL,BANK_B,358,HIGH,ENT00162
ACC00267,Irfan Saxena,PERSONAL,BANK_B,1050,LOW,ENT00163
ACC00268,Saxena Foods,BUSINESS,BANK_A,1079,HIGH,ENT00163
ACC00269,Sarita Banerjee,PERSONAL,BANK_B,1953,MEDIUM,ENT00164
ACC00270,Banerjee Retail,BUSINESS,BANK_A,1844,MEDIUM,ENT00164
ACC00271,Kapoor Overseas,BUSINESS,BANK_B,3061,MEDIUM,ENT00165
ACC00272,Sneha Kaur,PERSONAL,BANK_B,1570,MEDIUM,ENT00166
ACC00273,Thomas Verma,PERSONAL,BANK_B,501,MEDIUM,ENT00167
ACC00274,Tiwari Overseas,BUSINESS,BANK_A,1914,MEDIUM,ENT00168
ACC00275,Mary Verma,PERSONAL,BANK_A,1798,HIGH,ENT00169
ACC00276,Mahesh Malhotra,PERSONAL,BANK_A,2782,MEDIUM,ENT00170
ACC00277,Manoj Ghosh,PERSONAL,BANK_A,2494,HIGH,ENT00171
ACC00278,Harpreet Kumar,PERSONAL,BANK_A,1872,MEDIUM,ENT00172
ACC00279,Anil Yadav,PERSONAL,BANK_B,3125,MEDIUM,ENT00173
ACC00280,Sneha Bose,PERSONAL,BANK_B,3626,HIGH,ENT00174
ACC00281,Bose Logistics,BUSINESS,BANK_B,2121,HIGH,ENT00174
ACC00282,Lakshmi Pillai & Sons,PERSONAL,BANK_B,1012,MEDIUM,ENT00175
ACC00283,Pillai & Sons Electronics,BUSINESS,BANK_B,2335,MEDIUM,ENT00175
ACC00284,Mary Dhillon,PERSONAL,BANK_A,1522,LOW,ENT00176
ACC00285,Suresh Pandey,PERSONAL,BANK_B,537,MEDIUM,ENT00177
ACC00286,Karthik Verma,PERSONAL,BANK_B,1230,LOW,ENT00178
ACC00287,Verma Hardware,BUSINESS,BANK_A,3205,MEDIUM,ENT00178
ACC00288,Nisha Naidu,PERSONAL,BANK_A,2591,MEDIUM,ENT00179
ACC00289,Naidu Foods,BUSINESS,BANK_B,1149,MEDIUM,ENT00179
ACC00290,Banerjee Infotech,BUSINESS,BANK_B,3143,MEDIUM,ENT00180
ACC00291,Sowmya Malhotra,PERSONAL,BANK_B,988,HIGH,ENT00181
ACC00292,Nitin Gill,PERSONAL,BANK_B,833,MEDIUM,ENT00182
ACC00293,Gill Infotech,BUSINESS,BANK_A,3073,MEDIUM,ENT00182
ACC00294,Gill Traders,BUSINESS,BANK_A,2391,LOW,ENT00182
ACC00295,Imran Agarwal,PERSONAL,BANK_B,2886,MEDIUM,ENT00183
ACC00296,Agarwal Logistics,BUSINESS,BANK_B,554,LOW,ENT00183
ACC00297,Anil Chauhan,PERSONAL,BANK_B,2515,MEDIUM,ENT00184
ACC00298,Naidu Exports,BUSINESS,BANK_B,3524,MEDIUM,ENT00185
ACC00299,Manpreet Das,PERSONAL,BANK_B,808,MEDIUM,ENT00186
ACC00300,Verma Exports,BUSINESS,BANK_B,2485,HIGH,ENT00187
ACC00301,Manoj Menon,PERSONAL,BANK_A,1465,HIGH,ENT00188
ACC00302,Menon Foods,BUSINESS,BANK_A,74,HIGH,ENT00188
ACC00303,Shobha Banerjee,PERSONAL,BANK_A,2620,MEDIUM,ENT00189
ACC00304,Banerjee Infotech,BUSINESS,BANK_A,3030,MEDIUM,ENT00189
ACC00305,Padma Varghese,PERSONAL,BANK_B,368,LOW,ENT00190
ACC00306,Amit Qureshi,PERSONAL,BANK_A,391,MEDIUM,ENT00191
ACC00307,Qureshi Pharma,BUSINESS,BANK_B,405,HIGH,ENT00191
ACC00308,Rekha Mishra,PERSONAL,BANK_B,3180,MEDIUM,ENT00192
ACC00309,Susan Shah,PERSONAL,BANK_A,739,HIGH,ENT00193
ACC00310,Sangeeta Mukherjee,PERSONAL,BANK_B,2197,MEDIUM,ENT00194
ACC00311,Mukherjee Hardware,BUSINESS,BANK_B,2502,HIGH,ENT00194
ACC00312,Balaji Das,PERSONAL,BANK_A,3123,MEDIUM,ENT00195
ACC00313,Geeta Rao,PERSONAL,BANK_B,2689,MEDIUM,ENT00196
ACC00314,Kritika Tiwari,PERSONAL,BANK_A,687,MEDIUM,ENT00197
ACC00315,Joseph Dhillon,PERSONAL,BANK_A,817,MEDIUM,ENT00198
ACC00316,Srinivas Kapoor,PERSONAL,BANK_A,2977,MEDIUM,ENT00199
ACC00317,Jaspreet Sengupta,PERSONAL,BANK_A,1275,HIGH,ENT00200
ACC00318,Sengupta Enterprises,BUSINESS,BANK_A,2046,MEDIUM,ENT00200
ACC00319,Preethi Brar,PERSONAL,BANK_B,1465,LOW,ENT00201
ACC00320,Gaurav Kumar,PERSONAL,BANK_B,299,MEDIUM,ENT00202
ACC00321,Manisha Yadav,PERSONAL,BANK_B,2357,MEDIUM,ENT00203
ACC00322,Shobha Patel,PERSONAL,BANK_B,2066,LOW,ENT00204
ACC00323,Gopal Dubey,PERSONAL,BANK_A,2209,MEDIUM,ENT00205
ACC00324,Gopal Pillai & Sons,PERSONAL,BANK_B,3310,MEDIUM,ENT00206
