entity_key,canonical_name,phone,pan,address,num_records,num_accounts,account_ids,record_ids,has_unverified_link,is_watchlisted,rules_used
PERSON00033,Rohit Varghese,6900298207,NUJKW6687G,"767, Cross Street, Madurai, Tamil Nadu - 316487",3,2,ACC00048;ACC00051,REC000074;REC000078;REC000079,True,False,R0_same_account;R6_reversed
PERSON00034,Meena Bsoe,,RBEPF4813J,,1,1,ACC00049,REC000075,False,False,
PERSON00035,A. Iyer,7246872264,CUDJL9905K,"138, Colony, Jaipur, Rajasthan - 105165",4,2,ACC00050;ACC00056,REC000076;REC000077;REC000088;REC000089,False,False,R0_same_account;R1_same_pan;R3_address_and_name_sim;R5_initials;R8_soundex
PERSON00036,Anil Bhatt & Sons,7048832001,QKJTZ2997N,,2,1,ACC00052,REC000080;REC000081,False,False,R0_same_account
PERSON00037,Lakshmi Reddy,6866577686,WIRYF3790A,"12, Layout, Lucknow, Uttar Pradesh - 351554",3,2,ACC00054;ACC00061,REC000083;REC000084;REC000097,False,False,R0_same_account;R1_same_pan
PERSON00038,Balaji Malhotra & Sons,8471430081,AUTOB9137K,"802, Extension, Thiruvananthapuram, Kerala - 572920",4,2,ACC00055;ACC00062,REC000085;REC000086;REC000087;REC000098,False,True,R0_same_account;R1_same_pan;R3_address_and_name_sim;R6_reversed
PERSON00039,Harpreet Iyengar & Sons,7211945136,YBNJK9885C,"189, Avenue, Patna, Bihar - 333843",3,2,ACC00058;ACC00063,REC000092;REC000093;REC000099,False,False,R0_same_account;R1_same_pan;R3_address_and_name_sim
PERSON00040,A. Reddy,6382975150,KERUZ4143O,"391, Cross Street, Mumbai, Maharashtra - 349800",3,2,ACC00065;ACC00093,REC000102;REC000148;REC000149,False,False,R0_same_account;R1_same_pan;R2_phone_and_name_sim;R4_phone_and_address
PERSON00041,Zubair Naidu & Sons,8279212006,ZKSHW6640U,"248, Extension, Kochi, Kerala - 304072",3,2,ACC00066;ACC00068,REC000103;REC000106;REC000107,False,False,R0_same_account;R1_same_pan;R2_phone_and_name_sim;R3_address_and_name_sim;R4_phone_and_address;R6_reversed
PERSON00042,Harpreet Agarwal & Sons,9353132505,PPUCW8817U,"770, Extension, Mysuru, Karnataka - 431457",4,2,ACC00067;ACC00070,REC000104;REC000105;REC000110;REC000111,False,False,R0_same_account;R1_same_pan;R2_phone_and_name_sim;R3_address_and_name_sim;R4_phone_and_address
PERSON00043,SUNIL MUKHERJEE,7255010724,WOGHI1663T,"527, Extension, Nagpur, Maharashtra - 416130",4,2,ACC00069;ACC00072,REC000108;REC000109;REC000115;REC000116,False,False,R0_same_account;R2_phone_and_name_sim;R3_address_and_name_sim;R5_initials;R8_soundex
PERSON00044,Mary Bose & Sons,7397979418,WUZTP5267Q,"658, Cross Street, Chandigarh, Punjab - 692219",4,2,ACC00071;ACC00074,REC000112;REC000113;REC000114;REC000118,False,True,R0_same_account;R1_same_pan;R3_address_and_name_sim;R4_phone_and_address;R6_reversed
PERSON00045,Neha Desai,7076249079,EQTWY0799P,"328, Colony, Chandigarh, Punjab - 271050",3,2,ACC00073;ACC00103,REC000117;REC000163;REC000164,False,False,R0_same_account;R1_same_pan;R2_phone_and_name_sim;R3_address_and_name_sim;R4_phone_and_address
PERSON00046,NITHYA SHAH,,BPGTN9706P,"922, Colony, Lucknow, Uttar Pradesh - 189986",2,2,ACC00075;ACC00101,REC000119;REC000161,False,False,R1_same_pan
PERSON00047,Kalpana Ghosh & Sons,6230933757,AGFCG8263D,"222, Extension, Pune, Maharashtra - 639821",2,2,ACC00076;ACC00098,REC000120;REC000156,False,False,R1_same_pan;R2_phone_and_name_sim
PERSON00048,Sowmya Sidhu,7013260226,JEFHO3884A,"447, Nagar, Mumbai, Maharashtra - 582411",3,2,ACC00077;ACC00086,REC000121;REC000122;REC000136,False,False,R0_same_account;R1_same_pan
PERSON00049,Anita Tiwair,6396100538,KZISU0318K,,3,2,ACC00078;ACC00094,REC000123;REC000124;REC000150,False,False,R0_same_account;R2_phone_and_name_sim
PERSON00050,Ashok Dbuey,6446276016,VTPNK4026G,"556, Extension, Surat, Gujarat - 246148",3,2,ACC00079;ACC00087,REC000125;REC000137;REC000138,False,False,R0_same_account;R1_same_pan;R3_address_and_name_sim
PERSON00051,DINESH MALHOTRA,7955535998,XVLBN2975H,"57, Colony, Coimbatore, Tamil Nadu - 336195",4,2,ACC00080;ACC00099,REC000126;REC000127;REC000157;REC000158,False,False,R0_same_account;R1_same_pan
PERSON00052,Irfan Gill,7553294381,NWOIT6669Z,"48, Extension, Kochi, Kerala - 255500",3,2,ACC00081;ACC00082,REC000128;REC000129;REC000130,False,False,R0_same_account;R1_same_pan;R5_initials;R8_soundex
PERSON00053,P. Yadav,7295059559,YOAZP3834H,"562, Avenue, Delhi, Delhi - 141750",3,2,ACC00083;ACC00096,REC000131;REC000132;REC000153,False,False,R0_same_account;R1_same_pan
PERSON00054,NISHA DAS,8799302547,DATWO8355N,"236, Layout, Coimbatore, Tamil Nadu - 390475",3,2,ACC00084;ACC00105,REC000133;REC000166;REC000167,False,False,R0_same_account;R1_same_pan;R5_initials
PERSON00055,Reddy Vasantha,8237550835,NZBGH1058V,"199, Layout, Surat, Gujarat - 571655",4,2,ACC00085;ACC00095,REC000134;REC000135;REC000151;REC000152,False,False,R0_same_account;R1_same_pan;R4_phone_and_address;R5_initials;R6_reversed
PERSON00056,Swati Agarwal,7233410668,WSBEG8633H,"853, Nagar, Chennai, Tamil Nadu - 144339",3,2,ACC00088;ACC00106,REC000139;REC000168;REC000169,False,False,R0_same_account;R1_same_pan;R2_phone_and_name_sim;R3_address_and_name_sim
PERSON00057,Manoj Paetl,6769196807,IIKPX9114V,"132, Layout, Thiruvananthapuram, Kerala - 521315",4,2,ACC00089;ACC00092,REC000140;REC000141;REC000146;REC000147,False,False,R0_same_account;R3_address_and_name_sim
PERSON00058,Sneha Ahmed & Sons,9297071202,ZMDPW6597C,"953, Avenue, Surat, Gujarat - 341785",4,2,ACC00090;ACC00097,REC000142;REC000143;REC000154;REC000155,False,False,R0_same_account;R1_same_pan;R2_phone_and_name_sim;R3_address_and_name_sim
PERSON00059,Prakash Patel & Sons,8836721844,IBLQD1100B,"858, Nagar, Nagpur, Maharashtra - 338618",4,2,ACC00091;ACC00100,REC000144;REC000145;REC000159;REC000160,False,False,R0_same_account;R1_same_pan;R2_phone_and_name_sim;R3_address_and_name_sim;R4_phone_and_address
PERSON00060,Padma Kumar & Sons,,CZERX0246O,"118, Cross Street, Nagpur, Maharashtra - 223876",2,2,ACC00102;ACC00104,REC000162;REC000165,False,False,R1_same_pan
PERSON00061,Ajay Mehta & Sons,6138401143,MHNBC4507G,"383, Colony, Thiruvananthapuram, Kerala - 338257",2,2,ACC00107;ACC00109,REC000170;REC000173,False,False,R3_address_and_name_sim
PERSON00062,SUNITA JAIN,6085336045,OVUZN4089O,"921, Colony, Patna, Bihar - 299839",3,2,ACC00108;ACC00110,REC000171;REC000172;REC000174,False,True,R0_same_account;R1_same_pan;R3_address_and_name_sim;R4_phone_and_address
PERSON00063,PADMA MALHOTRA,6973086280,OORSP1793L,"904, Avenue, Hyderabad, Telangana - 674618",2,1,ACC00111,REC000175;REC000176,False,False,R0_same_account;R1_same_pan
PERSON00064,Suresh Kaur & Sons,8524294543,QADQF9944P,"259, Extension, Patna, Bihar - 695254",3,2,ACC00112;ACC00116,REC000177;REC000178;REC000186,False,False,R0_same_account;R1_same_pan;R2_phone_and_name_sim;R3_address_and_name_sim;R4_phone_and_address
PERSON00065,Anita Sandhu,7004541277,BIXMY1590Z,"685, Extension, Chandigarh, Punjab - 425568",4,2,ACC00113;ACC00114,REC000179;REC000180;REC000181;REC000182,False,False,R0_same_account;R1_same_pan;R4_phone_and_address
PERSON00066,Kapoor Rekha,8437633222,ISLHS7482K,,4,2,ACC00115;ACC00117,REC000183;REC000184;REC000185;REC000187,False,True,R0_same_account;R1_same_pan;R2_phone_and_name_sim
PERSON00067,Gopal Kapoor,9980012651,XYLNI6523N,"923, Avenue, Surat, Gujarat - 606658",3,2,ACC00118;ACC00120,REC000188;REC000189;REC000192,False,False,R0_same_account;R1_same_pan;R2_phone_and_name_sim;R5_initials;R8_soundex
PERSON00068,SWATI SENGUPTA,6836708617,GRWAN0915C,"482, Avenue, Kolkata, West Bengal - 303325",3,2,ACC00119;ACC00124,REC000190;REC000191;REC000199,False,False,R0_same_account;R1_same_pan;R2_phone_and_name_sim;R3_address_and_name_sim
PERSON00069,Kiran Tiwari & Sons,9452697695,TIKKL8217I,"442, Nagar, Madurai, Tamil Nadu - 266632",3,2,ACC00121;ACC00125,REC000193;REC000194;REC000200,False,False,R0_same_account;R1_same_pan
PERSON00070,Desai Sandeep,9132507156,QYDCB3409B,"413, Avenue, Thiruvananthapuram, Kerala - 149120",4,2,ACC00122;ACC00123,REC000195;REC000196;REC000197;REC000198,False,True,R0_same_account;R1_same_pan;R2_phone_and_name_sim;R5_initials
PERSON00071,IRFAN CHATTERJEE,7977297714,RFCJH8977T,"955, Main Road, Coimbatore, Tamil Nadu - 326048",3,2,ACC00126;ACC00130,REC000201;REC000208;REC000209,False,False,R0_same_account;R1_same_pan;R2_phone_and_name_sim
PERSON00072,ZUBAIR KAUR,8706650409,RFQKE3358O,"813, Extension, Nagpur, Maharashtra - 476766",4,2,ACC00127;ACC00131,REC000202;REC000203;REC000210;REC000211,False,False,R0_same_account;R1_same_pan;R2_phone_and_name_sim;R3_address_and_name_sim;R4_phone_and_address
PERSON00073,Bhatt Radha,,ZVNFR8453G,"824, Cross Street, Kochi, Kerala - 198475",2,2,ACC00128;ACC00132,REC000204;REC000212,False,False,R1_same_pan
PERSON00074,Irfan Gill & Sons,6491019489,SGOOC7334W,"432, Avenue, Surat, Gujarat - 221129",4,2,ACC00129;ACC00133,REC000205;REC000206;REC000207;REC000213,False,True,R0_same_account;R1_same_pan
PERSON00075,Bose Vinod,7224200726,BQDEX0154M,"473, Colony, Ahmedabad, Gujarat - 591578",2,2,ACC00134;ACC00135,REC000214;REC000215,False,False,R1_same_pan
PERSON00076,A. Kapoor,6110634835,,"29, Layout, Bengaluru, Karnataka - 511893",1,1,ACC00136,REC000216,False,False,
PERSON00077,Imran Sndhu,,MCKXY7454R,"487, Colony, Ahmedabad, Gujarat - 408738",1,1,ACC00137,REC000217,False,False,
PERSON00078,Yadav Sunita,8914602745,HQCQG5749V,"398, Avenue, Kolkata, West Bengal - 319830",3,2,ACC00138;ACC00144,REC000218;REC000227;REC000228,False,False,R0_same_account;R1_same_pan
PERSON00079,Geeta Verma & Sons,8723511015,QRFOJ5352W,"923, Layout, Mumbai, Maharashtra - 286731",4,2,ACC00139;ACC00142,REC000219;REC000220;REC000221;REC000225,False,True,R0_same_account;R1_same_pan;R2_phone_and_name_sim
PERSON00080,Ajay Saxena,9173593665,HXHGN9375O,"625, Avenue, Bhopal, Madhya Pradesh - 380001",3,2,ACC00140;ACC00143,REC000222;REC000223;REC000226,False,False,R0_same_account;R1_same_pan;R2_phone_and_name_sim;R4_phone_and_address;R6_reversed
PERSON00081,Manpreet Khan & Sons,8888690163,JBPTC8308Q,"880, Layout, Kochi, Kerala - 373329",3,2,ACC00141;ACC00146,REC000224;REC000231;REC000232,False,False,R0_same_account;R1_same_pan;R4_phone_and_address
PERSON00082,KAVITA RAO,9410110973,LPNUG8853L,"44, Cross Street, Kolkata, West Bengal - 572256",4,2,ACC00145;ACC00147,REC000229;REC000230;REC000233;REC000234,False,False,R0_same_account;R2_phone_and_name_sim;R4_phone_and_address;R5_initials
PERSON00083,Dubey Susan,6795962461,,"825, Colony, Chennai, Tamil Nadu - 296605",1,1,ACC00148,REC000235,False,False,
PERSON00084,Kalpana Patel & Sons,9001617604,NGPBF2075G,"854, Extension, Patna, Bihar - 385368",2,2,ACC00149;ACC00150,REC000236;REC000237,False,False,R4_phone_and_address
PERSON00085,VINOD JAIN,6529943291,PEUJO8215M,"208, Colony, Mumbai, Maharashtra - 322213",4,2,ACC00151;ACC00152,REC000238;REC000239;REC000240;REC000241,False,False,R0_same_account;R1_same_pan;R2_phone_and_name_sim;R3_address_and_name_sim;R4_phone_and_address;R5_initials;R8_soundex
PERSON00086,S. Malik,,AONVK0784F,"17, Extension, Chennai, Tamil Nadu - 494174",1,1,ACC00153,REC000242,False,False,
PERSON00087,Priya Plilai,8830105794,QRFWG7091U,"946, Colony, Hyderabad, Telangana - 404386",2,2,ACC00154;ACC00155,REC000243;REC000244,False,False,R1_same_pan
PERSON00088,Joseph Nair & Sons,6845901684,OZQHS9196T,"714, Layout, Chandigarh, Punjab - 240860",2,1,ACC00156,REC000245;REC000246,False,False,R0_same_account;R1_same_pan;R2_phone_and_name_sim
PERSON00089,DIVYA PANDEY,9382917079,GLAVB7063U,"45, Layout, Chennai, Tamil Nadu - 466730",2,1,ACC00157,REC000247;REC000248,False,False,R0_same_account;R1_same_pan;R2_phone_and_name_sim;R3_address_and_name_sim;R4_phone_and_address
PERSON00090,Malhotra Ritu,7559369480,PHFDA6459Y,"175, Extension, Mumbai, Maharashtra - 284876",2,1,ACC00158,REC000249;REC000250,False,False,R0_same_account
PERSON00091,Nisha Pillai & Sons,6846385048,FMCFY6781Z,,1,1,ACC00159,REC000251,False,False,
PERSON00092,Ravi Nair & Sons,9620986094,IIVOO4622Y,"470, Main Road, Ahmedabad, Gujarat - 429471",3,2,ACC00160;ACC00161,REC000252;REC000253;REC000254,False,False,R0_same_account;R1_same_pan;R2_phone_and_name_sim;R3_address_and_name_sim;R4_phone_and_address
PERSON00093,Iyer Swati,6726843474,MYVUW1665K,"876, Avenue, Jaipur, Rajasthan - 371467",2,1,ACC00162,REC000255;REC000256,False,False,R0_same_account
PERSON00094,RAMESH SAXENA,9573075746,,,1,1,ACC00163,REC000257,False,False,
PERSON00095,RAMESH SAXENA,,RGTQT4314Z,"741, Extension, Mysuru, Karnataka - 111590",1,1,ACC00164,REC000258,False,False,
PERSON00096,ANJALI GILL,7770765132,OPSPZ1587N,"750, Extension, Delhi, Delhi - 241061",1,1,ACC00165,REC000259,False,False,
PERSON00097,Das Faisal,8929494732,,,2,1,ACC00166,REC000260;REC000261,False,False,R0_same_account
PERSON00098,Muthu Bose,,FTCQS1680I,"534, Main Road, Mumbai, Maharashtra - 202699",1,1,ACC00167,REC000262,False,False,
PERSON00099,I. Kaur,,BHCMF3399W,"217, Extension, Kolkata, West Bengal - 603807",1,1,ACC00168,REC000263,False,False,
PERSON00100,Simran Mukherje,7690133883,,,1,1,ACC00169,REC000264,False,False,
PERSON00101,Saxena Gopal,6921800427,JBBYJ9706T,"2, Cross Street, Thiruvananthapuram, Kerala - 436232",2,1,ACC00170,REC000265;REC000266,False,False,R0_same_account;R1_same_pan;R4_phone_and_address
PERSON00102,Sowmya Sengupta & Sons,8041150139,PHXXJ1831L,"396, Cross Street, Bengaluru, Karnataka - 321496",2,1,ACC00171,REC000267;REC000268,False,False,R0_same_account;R4_phone_and_address
PERSON00103,HARISH KAUR,7274821853,DIYSC9832I,"654, Colony, Surat, Gujarat - 318675",3,2,ACC00172;ACC00173,REC000269;REC000270;REC000271,False,False,R0_same_account;R1_same_pan;R2_phone_and_name_sim;R4_phone_and_address
PERSON00104,Thomas Dhillon & Sons,6679385330,INOSG1447O,"771, Avenue, Delhi, Delhi - 356581",2,1,ACC00174,REC000272;REC000273,False,False,R0_same_account;R1_same_pan;R3_address_and_name_sim
PERSON00105,Amandeep Tiwari,6438096327,XGGCU1349M,"453, Layout, Hyderabad, Telangana - 626650",2,2,ACC00175;ACC00176,REC000274;REC000275,True,False,R6_reversed
PERSON00106,RADHA PILLAI & SONS,9734563531,WVPQA1046S,"507, Main Road, Ahmedabad, Gujarat - 365113",2,1,ACC00177,REC000276;REC000277,False,False,R0_same_account;R1_same_pan
PERSON00107,RAHUL AHMED,,MGPYG2748N,"55, Avenue, Bhopal, Madhya Pradesh - 357648",1,1,ACC00178,REC000278,False,False,
PERSON00108,Aarti Bansal & Sons,9024691018,JKJKG5147R,"644, Colony, Surat, Gujarat - 494506",4,2,ACC00179;ACC00180,REC000279;REC000280;REC000281;REC000282,False,False,R0_same_account;R1_same_pan;R2_phone_and_name_sim;R3_address_and_name_sim;R6_reversed
PERSON00109,Priya Varghese & Sons,6202524735,DUJHK3182U,"125, Avenue, Mumbai, Maharashtra - 176531",1,1,ACC00181,REC000283,False,False,
PERSON00110,Sunil Deai,9133476914,ADTNM2411L,"538, Extension, Thiruvananthapuram, Kerala - 346467",2,1,ACC00182,REC000284;REC000285,False,False,R0_same_account;R1_same_pan;R4_phone_and_address
PERSON00111,KAVITA DAS,7619069286,BCIQI8625U,"88, Colony, Surat, Gujarat - 394314",2,1,ACC00183,REC000286;REC000287,False,False,R0_same_account;R1_same_pan;R2_phone_and_name_sim;R3_address_and_name_sim;R4_phone_and_address
PERSON00112,SUNIL DHILLON,8547207257,UYPTY1602S,,1,1,ACC00184,REC000288,False,False,
PERSON00113,Pankaj Ahmed & Sons,6936361733,,,2,1,ACC00185,REC000289;REC000290,False,False,R0_same_account
PERSON00114,Khan Kiran,8287338229,,"770, Extension, Jaipur, Rajasthan - 633079",1,1,ACC00186,REC000291,False,False,
PERSON00115,GURPREET BANERJEE,9420110212,,"335, Cross Street, Coimbatore, Tamil Nadu - 435673",2,1,ACC00187,REC000292;REC000293,False,False,R0_same_account;R2_phone_and_name_sim;R3_address_and_name_sim;R4_phone_and_address
PERSON00116,Ravi Sandhu & Sons,7705596747,TIKMP1046D,"395, Avenue, Bhopal, Madhya Pradesh - 515310",2,1,ACC00188,REC000294;REC000295,False,False,R0_same_account
PERSON00117,Kavita Agarwal,8692801941,FJCNZ5517L,"3, Main Road, Kolkata, West Bengal - 471639",2,1,ACC00189,REC000296;REC000297,False,False,R0_same_account;R1_same_pan;R2_phone_and_name_sim;R3_address_and_name_sim;R4_phone_and_address
PERSON00118,Ritu Chatterjee & Sons,8552036885,UMZOS8796Z,"408, Extension, Nagpur, Maharashtra - 256972",4,2,ACC00190;ACC00191,REC000298;REC000299;REC000300;REC000301,False,False,R0_same_account;R1_same_pan;R2_phone_and_name_sim;R3_address_and_name_sim;R4_phone_and_address
PERSON00119,Susan Anasri,6717346773,ILKFG8240N,"833, Layout, Coimbatore, Tamil Nadu - 384864",4,2,ACC00192;ACC00193,REC000302;REC000303;REC000304;REC000305,False,False,R0_same_account;R1_same_pan;R3_address_and_name_sim;R4_phone_and_address
PERSON00120,Shobha Pillia & Sons,9161133939,,,1,1,ACC00194,REC000306,False,False,
PERSON00121,Susan Bose & Sons,6628604101,OIHNS1461J,"274, Cross Street, Delhi, Delhi - 425723",2,1,ACC00195,REC000307;REC000308,False,False,R0_same_account;R3_address_and_name_sim
PERSON00122,G. Menon,,NVHRL0438G,"788, Main Road, Lucknow, Uttar Pradesh - 648182",1,1,ACC00196,REC000309,False,False,
PERSON00123,Thomas Bansal & Sons,6693605194,ZUJPV6306D,"989, Avenue, Kochi, Kerala - 261564",1,1,ACC00197,REC000310,False,False,
PERSON00124,Das Imran,6615690320,EOTTY9983R,"853, Main Road, Pune, Maharashtra - 188452",3,2,ACC00198;ACC00199,REC000311;REC000312;REC000313,False,False,R0_same_account;R1_same_pan;R2_phone_and_name_sim;R3_address_and_name_sim;R4_phone_and_address
PERSON00125,Sneha Verma,7745984967,AVOVV3564C,"79, Cross Street, Surat, Gujarat - 458847",2,1,ACC00200,REC000314;REC000315,False,False,R0_same_account;R2_phone_and_name_sim
PERSON00126,Chatterjee Ramesh,9107033745,FSZWP9099U,"240, Nagar, Jaipur, Rajasthan - 303212",5,3,ACC00201;ACC00202;ACC00203,REC000316;REC000317;REC000318;REC000319;REC000320,False,False,R0_same_account;R1_same_pan;R3_address_and_name_sim;R4_phone_and_address;R6_reversed
PERSON00127,Chatterjee Nisha,6496072750,JHBMH7855L,"597, Nagar, Hyderabad, Telangana - 507819",1,1,ACC00204,REC000321,False,False,
PERSON00128,Faisal Cahtterjee,8686816579,PZCJG3210A,"810, Main Road, Madurai, Tamil Nadu - 410851",2,1,ACC00205,REC000322;REC000323,False,False,R0_same_account;R1_same_pan;R2_phone_and_name_sim;R3_address_and_name_sim;R4_phone_and_address
PERSON00129,RAMESH SENGUPTA,8252956017,HGRNB7264I,"826, Main Road, Kolkata, West Bengal - 408303",4,2,ACC00206;ACC00207,REC000324;REC000325;REC000326;REC000327,False,False,R0_same_account;R1_same_pan;R2_phone_and_name_sim;R3_address_and_name_sim;R4_phone_and_address
PERSON00130,Swati Kahn,8160344886,,"322, Nagar, Kolkata, West Bengal - 287276",1,1,ACC00208,REC000328,False,False,
PERSON00131,Amit Saxena,,PCWGY6281I,"214, Main Road, Thiruvananthapuram, Kerala - 686322",2,1,ACC00209,REC000329;REC000330,False,False,R0_same_account;R1_same_pan
PERSON00132,Gaurav Desai,9501865285,IBVTY1989R,,1,1,ACC00210,REC000331,False,False,
PERSON00133,LAKSHMI GHOSH,6044745369,KULQX6680S,"634, Extension, Surat, Gujarat - 280008",2,1,ACC00211,REC000332;REC000333,False,False,R0_same_account;R1_same_pan
