record_id,source_system,name_as_written,phone,pan,address,linked_account,true_entity_id
REC000018,WATCHLIST,Malik Padma,,WHSBC4977X,"41, Colony, Chandigarh, Punjab - 566624",ACC00011,ENT00006
REC000019,RETAIL_CBS,Anna Agarwal,8575691714,,,ACC00012,ENT00007
REC000020,CORPORATE_BANKING,ANNA AGARWAL,,XNEHN7759R,"983, Extension, Hyderabad, Telangana - 139815",ACC00012,ENT00007
REC000021,RETAIL_CBS,Jyoti Saxena & Sons,7662644268,,"590, Avenue, Ahmedabad, Gujarat - 399628",ACC00013,ENT00008
REC000022,CORPORATE_BANKING,Padma Malik & Sons,7025905338,WHSBC4977X,"41, Colony, Chandigarh, Punjab - 566624",ACC00014,ENT00006
REC000023,RETAIL_CBS,Jyoti Saxena,,BLQLC0990W,,ACC00015,ENT00008
REC000024,RETAIL_CBS,P. Dhillon,8036184602,,,ACC00016,ENT00010
REC000025,RETAIL_CBS,Lakshmi Chauhan,6794286152,TCEVY7434T,"949, Cross Street, Pune, Maharashtra - 550323",ACC00017,ENT00009
REC000026,CORPORATE_BANKING,LAKSHMI CHAUHAN,6794286152,TCEVY7434T,,ACC00017,ENT00009
REC000027,WATCHLIST,L. Chauhan,6794286152,TCEVY7434T,,ACC00017,ENT00009
REC000028,RETAIL_CBS,Kapoor Anil,9663668027,AKFIS8498C,,ACC00018,ENT00011
REC000029,CORPORATE_BANKING,Priya Dhillon,,HACQC6800E,"513, Main Road, Madurai, Tamil Nadu - 267742",ACC00019,ENT00010
REC000030,CORPORATE_BANKING,LAKSHMI CHAUHAN,6794286152,,"949, Cross Street, Pune, Maharashtra - 550323",ACC00020,ENT00009
REC000031,RETAIL_CBS,Lakshmi Kuar,7462955086,VDYPC1228G,"314, Extension, Hyderabad, Telangana - 350041",ACC00021,ENT00012
REC000032,CORPORATE_BANKING,Lakshmi Kaur,7462955086,,"314, Extension, Hyderabad, Telangana - 350041",ACC00021,ENT00012
REC000033,RETAIL_CBS,Anil Kapor,9663668027,AKFIS8498C,"271, Cross Street, Madurai, Tamil Nadu - 110995",ACC00022,ENT00011
REC000034,CORPORATE_BANKING,Anil Kapoor,,,"271, Cross Street, Madurai, Tamil Nadu - 110995",ACC00022,ENT00011
REC000035,RETAIL_CBS,Lakshmi Kuar,,VDYPC1228G,"314, Extension, Hyderabad, Telangana - 350041",ACC00023,ENT00012
REC000036,RETAIL_CBS,N. Brar,7083379250,CNXHF7842E,,ACC00024,ENT00013
REC000037,WATCHLIST,Neha Brar & Sons,7083379250,,,ACC00024,ENT00013
REC000038,CORPORATE_BANKING,Anna Malk,,TWZEO9887I,,ACC00025,ENT00014
REC000039,RETAIL_CBS,GAURAV AHMED,,TIFKL8318C,,ACC00026,ENT00019
REC000040,RETAIL_CBS,Srinivas Gupta & Sons,6854733540,XJMSS6479J,,ACC00027,ENT00018
REC000041,RETAIL_CBS,Naveen Thoms,7274365026,,,ACC00028,ENT00017
REC000042,CORPORATE_BANKING,Naveen Thoams,,,"50, Layout, Hyderabad, Telangana - 360152",ACC00028,ENT00017
REC000043,RETAIL_CBS,Srinivas Gupta & Sons,6854733540,XJMSS6479J,"331, Extension, Hyderabad, Telangana - 547484",ACC00029,ENT00018
REC000044,RETAIL_CBS,Manoj Pillai & Sons,7003902848,RISSI8252L,"929, Colony, Madurai, Tamil Nadu - 244194",ACC00030,ENT00015
REC000045,CORPORATE_BANKING,MANOJ PILLAI & SONS,,RISSI8252L,"929, Colony, Madurai, Tamil Nadu - 244194",ACC00030,ENT00015
REC000046,RETAIL_CBS,Manoj Pillai & Sosn,7003902848,,"929, Colony, Madurai, Tamil Nadu - 244194",ACC00031,ENT00015
REC000047,RETAIL_CBS,Zubair Amed,6719748773,,"822, Avenue, Jaipur, Rajasthan - 194972",ACC00032,ENT00016
REC000048,CORPORATE_BANKING,ZUBAIR AHMED,,QFXPM4290W,,ACC00032,ENT00016
REC000049,RETAIL_CBS,Naveen Thoas,7274365026,FXINW7503A,,ACC00033,ENT00017
REC000050,RETAIL_CBS,Anna Maik,,TWZEO9887I,,ACC00034,ENT00014
REC000051,CORPORATE_BANKING,Malik Anna,8653751361,TWZEO9887I,,ACC00034,ENT00014
REC000052,RETAIL_CBS,Neha Brar & Sons,7083379250,,"216, Main Road, Patna, Bihar - 180987",ACC00035,ENT00013
REC000053,RETAIL_CBS,Ahmed Zubair,6719748773,QFXPM4290W,"822, Avenue, Jaipur, Rajasthan - 194972",ACC00036,ENT00016
REC000054,RETAIL_CBS,Gaurav Ahmed,,TIFKL8318C,,ACC00037,ENT00019
REC000055,CORPORATE_BANKING,Gaurav Ahmde,6667083313,TIFKL8318C,"971, Cross Street, Ahmedabad, Gujarat - 344027",ACC00037,ENT00019
REC000056,RETAIL_CBS,Meena Boes,,RBEPF4813J,"181, Cross Street, Jaipur, Rajasthan - 129371",ACC00038,ENT00021
REC000057,CORPORATE_BANKING,MEENA BOSE,,RBEPF4813J,,ACC00038,ENT00021
REC000058,CORPORATE_BANKING,Harpreet Iyengar & Sons,7211945136,YBNJK9885C,,ACC00039,ENT00027
REC000059,RETAIL_CBS,Naidu Harpreet,,HKLNO2165S,"85, Layout, Coimbatore, Tamil Nadu - 652139",ACC00040,ENT00023
REC000060,CORPORATE_BANKING,Harpreet Niadu,8711358546,,,ACC00040,ENT00023
REC000061,RETAIL_CBS,Arun Gill,6007141898,,"661, Cross Street, Nagpur, Maharashtra - 358523",ACC00041,ENT00028
REC000062,RETAIL_CBS,Balaji Malhtora,,AUTOB9137K,"802, Extension, Thiruvananthapuram, Kerala - 572920",ACC00042,ENT00020
REC000063,CORPORATE_BANKING,Balaji Malhotra & Sons,8471430081,AUTOB9137K,"802, Extension, Thiruvananthapuram, Kerala - 572920",ACC00042,ENT00020
REC000064,WATCHLIST,Balaji Malotra,8471430081,AUTOB9137K,,ACC00042,ENT00020
REC000065,CORPORATE_BANKING,Lakshmi Reddy & Sons,,WIRYF3790A,"12, Layout, Lucknow, Uttar Pradesh - 351554",ACC00043,ENT00022
REC000066,RETAIL_CBS,Meena Bose & Sons,7219121087,RBEPF4813J,,ACC00044,ENT00021
REC000067,RETAIL_CBS,ANNA IYER,,CUDJL9905K,,ACC00045,ENT00030
REC000068,CORPORATE_BANKING,Naveen Agarwal,7441837871,,"424, Colony, Kochi, Kerala - 592622",ACC00046,ENT00024
REC000069,RETAIL_CBS,Anna Iyer & Sons,7246872264,,,ACC00047,ENT00030
REC000070,CORPORATE_BANKING,A. Iyer,,,"138, Colony, Jaipur, Rajasthan - 105165",ACC00047,ENT00030
REC000071,RETAIL_CBS,Mukherjee Karthik,6301551157,JOMRT6029N,,ACC00048,ENT00026
REC000072,CORPORATE_BANKING,K. Mukherjee,6301551157,,,ACC00048,ENT00026
REC000073,RETAIL_CBS,N. Agarwal,7441837871,LBEYH1318Z,"424, Colony, Kochi, Kerala - 592622",ACC00049,ENT00024
REC000074,RETAIL_CBS,SANDEEP SINGH,6826582722,JEPQL3928S,"611, Avenue, Mumbai, Maharashtra - 255867",ACC00050,ENT00029
REC000075,RETAIL_CBS,Varghese Rohit,6900298207,NUJKW6687G,,ACC00051,ENT00025
REC000076,CORPORATE_BANKING,R. Varghese,6900298207,,"767, Cross Street, Madurai, Tamil Nadu - 316487",ACC00051,ENT00025
REC000077,RETAIL_CBS,DIVYA BOSE,,KAEOI4250H,"15, Extension, Chandigarh, Punjab - 311496",ACC00052,ENT00031
REC000078,CORPORATE_BANKING,Divya Bose,7172599423,KAEOI4250H,,ACC00052,ENT00031
REC000079,RETAIL_CBS,Lakshmi Reddy,,WIRYF3790A,"12, Layout, Lucknow, Uttar Pradesh - 351554",ACC00053,ENT00022
REC000080,CORPORATE_BANKING,Reddy Lakshmi,6866577686,WIRYF3790A,"12, Layout, Lucknow, Uttar Pradesh - 351554",ACC00053,ENT00022
REC000081,RETAIL_CBS,Rohit Varghese & Sons,6900298207,,"767, Cross Street, Madurai, Tamil Nadu - 316487",ACC00054,ENT00025
REC000082,CORPORATE_BANKING,Varghese Rohit,6900298207,,"767, Cross Street, Madurai, Tamil Nadu - 316487",ACC00054,ENT00025
REC000083,CORPORATE_BANKING,S. Singh,6826582722,JEPQL3928S,,ACC00055,ENT00029
REC000084,RETAIL_CBS,Harpreet Iyengar & Sons,,YBNJK9885C,"189, Avenue, Patna, Bihar - 333843",ACC00056,ENT00027
REC000085,CORPORATE_BANKING,Iyengar Harpreet,7211945136,,"189, Avenue, Patna, Bihar - 333843",ACC00056,ENT00027
REC000086,CORPORATE_BANKING,HARPREET NAIDU,,HKLNO2165S,"85, Layout, Coimbatore, Tamil Nadu - 652139",ACC00057,ENT00023
REC000087,RETAIL_CBS,Bhatt Anil,7048832001,,,ACC00058,ENT00033
REC000088,CORPORATE_BANKING,A. Bhatt,7048832001,,"483, Avenue, Bhopal, Madhya Pradesh - 562378",ACC00058,ENT00033
REC000089,RETAIL_CBS,Divya Bose,7172599423,KAEOI4250H,,ACC00059,ENT00031
REC000090,CORPORATE_BANKING,Divya Bose & Sons,7172599423,KAEOI4250H,"15, Extension, Chandigarh, Punjab - 311496",ACC00059,ENT00031
REC000091,RETAIL_CBS,ARUN GILL,,VPZQM7496A,,ACC00060,ENT00028
REC000092,CORPORATE_BANKING,Gill Arun,6007141898,VPZQM7496A,,ACC00060,ENT00028
REC000093,RETAIL_CBS,Balaji Mahotra,8471430081,,,ACC00061,ENT00020
REC000094,CORPORATE_BANKING,Balaji Malhotar,8471430081,AUTOB9137K,,ACC00061,ENT00020
REC000095,RETAIL_CBS,Karthik Mukherjee,,,"59, Extension, Surat, Gujarat - 246640",ACC00062,ENT00026
REC000096,CORPORATE_BANKING,Karthik Mukherjee & Sons,6301551157,JOMRT6029N,,ACC00062,ENT00026
REC000097,RETAIL_CBS,N. Nair,6557010082,,"614, Colony, Chennai, Tamil Nadu - 102250",ACC00063,ENT00032
REC000098,CORPORATE_BANKING,Naveen Niar,,TATAC7133W,"614, Colony, Chennai, Tamil Nadu - 102250",ACC00063,ENT00032
REC000099,RETAIL_CBS,Naveen Nair & Sons,6557010082,TATAC7133W,,ACC00064,ENT00032
REC000100,RETAIL_CBS,Kalpana Ghosh & Sons,6230933757,AGFCG8263D,,ACC00065,ENT00037
REC000101,CORPORATE_BANKING,K. Ghosh,6230933757,,,ACC00065,ENT00037
REC000102,CORPORATE_BANKING,HARPREET AGARWAL,9353132505,,,ACC00066,ENT00036
REC000103,RETAIL_CBS,Prakash Patel & Sons,,,"858, Nagar, Nagpur, Maharashtra - 338618",ACC00067,ENT00043
REC000104,CORPORATE_BANKING,PRAKASH PATEL,8836721844,IBLQD1100B,"858, Nagar, Nagpur, Maharashtra - 338618",ACC00067,ENT00043
REC000105,RETAIL_CBS,Sunil Mkherjee,7255010724,WOGHI1663T,"527, Extension, Nagpur, Maharashtra - 416130",ACC00068,ENT00035
REC000106,CORPORATE_BANKING,Mukherjee Sunil,7255010724,WOGHI1663T,"527, Extension, Nagpur, Maharashtra - 416130",ACC00068,ENT00035
REC000107,RETAIL_CBS,Desai Neha,,,"328, Colony, Chandigarh, Punjab - 271050",ACC00069,ENT00045
REC000108,CORPORATE_BANKING,Neha Desai & Sons,7076249079,EQTWY0799P,"328, Colony, Chandigarh, Punjab - 271050",ACC00069,ENT00045
REC000109,RETAIL_CBS,N. Shah,9418740859,BPGTN9706P,"922, Colony, Lucknow, Uttar Pradesh - 189986",ACC00070,ENT00049
REC000110,CORPORATE_BANKING,Nithya Shah,,BPGTN9706P,,ACC00070,ENT00049
REC000111,RETAIL_CBS,Sneha Ahmed,,ZMDPW6597C,"953, Avenue, Surat, Gujarat - 341785",ACC00071,ENT00040
REC000112,CORPORATE_BANKING,Sneha Ahemd,,ZMDPW6597C,"953, Avenue, Surat, Gujarat - 341785",ACC00071,ENT00040
REC000113,RETAIL_CBS,Z. Naidu,8279212006,,"248, Extension, Kochi, Kerala - 304072",ACC00072,ENT00052
REC000114,CORPORATE_BANKING,Naidu Zubair,8279212006,ZKSHW6640U,,ACC00072,ENT00052
REC000115,CORPORATE_BANKING,HARPREET AGARWAL,9353132505,,"770, Extension, Mysuru, Karnataka - 431457",ACC00073,ENT00036
REC000116,CORPORATE_BANKING,Bose Mary,,WUZTP5267Q,"658, Cross Street, Chandigarh, Punjab - 692219",ACC00074,ENT00034
REC000117,WATCHLIST,Mary Bose & Sons,,WUZTP5267Q,"658, Cross Street, Chandigarh, Punjab - 692219",ACC00074,ENT00034
REC000118,RETAIL_CBS,Sowmya Sidhu,7013260226,,"447, Nagar, Mumbai, Maharashtra - 582411",ACC00075,ENT00039
REC000119,CORPORATE_BANKING,SOWMYA SIDHU,,,"447, Nagar, Mumbai, Maharashtra - 582411",ACC00075,ENT00039
REC000120,RETAIL_CBS,Manoj Patel & Sons,,IIKPX9114V,,ACC00076,ENT00038
REC000121,CORPORATE_BANKING,Manoj Patel,,IIKPX9114V,,ACC00076,ENT00038
REC000122,RETAIL_CBS,Anita Tiwari,,KZISU0318K,"467, Avenue, Kochi, Kerala - 579162",ACC00077,ENT00054
REC000123,CORPORATE_BANKING,Anita Tiwai,6396100538,KZISU0318K,,ACC00077,ENT00054
REC000124,RETAIL_CBS,Sowmya Siduh,,JEFHO3884A,,ACC00078,ENT00039
REC000125,CORPORATE_BANKING,Sowmya Sidhu,7013260226,JEFHO3884A,,ACC00078,ENT00039
REC000126,RETAIL_CBS,Sunil Mukhejee,7255010724,WOGHI1663T,,ACC00079,ENT00035
REC000127,CORPORATE_BANKING,Vasantha Rddy,8237550835,,,ACC00080,ENT00053
REC000128,CORPORATE_BANKING,NITHYA SHAH,9418740859,,,ACC00081,ENT00049
REC000129,RETAIL_CBS,Vasantha Redy,8237550835,NZBGH1058V,"199, Layout, Surat, Gujarat - 571655",ACC00082,ENT00053
REC000130,RETAIL_CBS,Swati Agarwal,7233410668,,"853, Nagar, Chennai, Tamil Nadu - 144339",ACC00083,ENT00048
REC000131,CORPORATE_BANKING,Swati Agarwla,7233410668,,,ACC00083,ENT00048
REC000132,RETAIL_CBS,Padma Kumar & Sons,6120857195,CZERX0246O,,ACC00084,ENT00051
REC000133,CORPORATE_BANKING,Kumar Padma,,CZERX0246O,"118, Cross Street, Nagpur, Maharashtra - 223876",ACC00084,ENT00051
REC000134,CORPORATE_BANKING,S. Agarwal,,WSBEG8633H,"853, Nagar, Chennai, Tamil Nadu - 144339",ACC00085,ENT00048
REC000135,RETAIL_CBS,Nisha Das,8799302547,,"236, Layout, Coimbatore, Tamil Nadu - 390475",ACC00086,ENT00042
REC000136,CORPORATE_BANKING,Nisha Das & Sons,8799302547,,,ACC00086,ENT00042
REC000137,RETAIL_CBS,IRFAN GILL,,,"48, Extension, Kochi, Kerala - 255500",ACC00087,ENT00047
REC000138,CORPORATE_BANKING,Irfan Gill,7553294381,NWOIT6669Z,,ACC00087,ENT00047
REC000139,RETAIL_CBS,Ashok Dueby,,VTPNK4026G,,ACC00088,ENT00050
REC000140,CORPORATE_BANKING,ASHOK DUBEY,6446276016,VTPNK4026G,"556, Extension, Surat, Gujarat - 246148",ACC00088,ENT00050
REC000141,RETAIL_CBS,Dinesh Mlahotra,,,"57, Colony, Coimbatore, Tamil Nadu - 336195",ACC00089,ENT00041
REC000142,CORPORATE_BANKING,DINESH MALHOTRA,7955535998,,"57, Colony, Coimbatore, Tamil Nadu - 336195",ACC00089,ENT00041
REC000143,RETAIL_CBS,Neha Desai,7076249079,EQTWY0799P,"328, Colony, Chandigarh, Punjab - 271050",ACC00090,ENT00045
REC000144,CORPORATE_BANKING,N. Desai,7076249079,EQTWY0799P,"328, Colony, Chandigarh, Punjab - 271050",ACC00090,ENT00045
REC000145,RETAIL_CBS,IRFAN GILL,7553294381,NWOIT6669Z,"48, Extension, Kochi, Kerala - 255500",ACC00091,ENT00047
REC000146,CORPORATE_BANKING,Gill Irfan,7553294381,,,ACC00091,ENT00047
REC000147,RETAIL_CBS,Mary Bose & Sons,7397979418,,,ACC00092,ENT00034
REC000148,CORPORATE_BANKING,M. Bose,,,"658, Cross Street, Chandigarh, Punjab - 692219",ACC00092,ENT00034
REC000149,CORPORATE_BANKING,Arun Redyd,,KERUZ4143O,"391, Cross Street, Mumbai, Maharashtra - 349800",ACC00093,ENT00046
REC000150,RETAIL_CBS,Padma Yadva,7295059559,,"562, Avenue, Delhi, Delhi - 141750",ACC00094,ENT00044
REC000151,RETAIL_CBS,Anita Tiwair,6396100538,,,ACC00095,ENT00054
REC000152,RETAIL_CBS,Dubey Ashok,6446276016,,"556, Extension, Surat, Gujarat - 246148",ACC00096,ENT00050
REC000153,CORPORATE_BANKING,ASHOK DUBEY,6446276016,VTPNK4026G,,ACC00096,ENT00050
REC000154,CORPORATE_BANKING,P. Kumar,,CZERX0246O,,ACC00097,ENT00051
REC000155,RETAIL_CBS,Arun Reddy & Sons,,KERUZ4143O,"391, Cross Street, Mumbai, Maharashtra - 349800",ACC00098,ENT00046
REC000156,CORPORATE_BANKING,Arun Rdedy,6382975150,KERUZ4143O,"391, Cross Street, Mumbai, Maharashtra - 349800",ACC00098,ENT00046
REC000157,CORPORATE_BANKING,Nisha Das,8799302547,,,ACC00099,ENT00042
REC000158,RETAIL_CBS,Prakash Patel & Sons,,IBLQD1100B,,ACC00100,ENT00043
REC000159,CORPORATE_BANKING,Prakash Patel,8836721844,IBLQD1100B,"858, Nagar, Nagpur, Maharashtra - 338618",ACC00100,ENT00043
REC000160,RETAIL_CBS,Manoj Pael,,IIKPX9114V,"132, Layout, Thiruvananthapuram, Kerala - 521315",ACC00101,ENT00038
REC000161,CORPORATE_BANKING,Manoj Patel,6769196807,,"132, Layout, Thiruvananthapuram, Kerala - 521315",ACC00101,ENT00038
REC000162,CORPORATE_BANKING,Zubair Niadu,8279212006,,,ACC00102,ENT00052
REC000163,RETAIL_CBS,Yadav Padma,,YOAZP3834H,,ACC00103,ENT00044
REC000164,CORPORATE_BANKING,Padma Yadav,7295059559,YOAZP3834H,"562, Avenue, Delhi, Delhi - 141750",ACC00103,ENT00044
REC000165,CORPORATE_BANKING,Sneha Ahemd,9297071202,ZMDPW6597C,"953, Avenue, Surat, Gujarat - 341785",ACC00104,ENT00040
REC000166,RETAIL_CBS,Kalpana Ghosh,6230933757,AGFCG8263D,"222, Extension, Pune, Maharashtra - 639821",ACC00105,ENT00037
REC000167,CORPORATE_BANKING,KALPANA GHOSH,,AGFCG8263D,"222, Extension, Pune, Maharashtra - 639821",ACC00105,ENT00037
REC000168,RETAIL_CBS,Dinesh Malotra,,XVLBN2975H,,ACC00106,ENT00041
REC000169,CORPORATE_BANKING,DINESH MALHOTRA,,,"57, Colony, Coimbatore, Tamil Nadu - 336195",ACC00106,ENT00041
REC000170,RETAIL_CBS,Ajay Mheta,6138401143,,"383, Colony, Thiruvananthapuram, Kerala - 338257",ACC00107,ENT00056
REC000171,CORPORATE_BANKING,AJAY MEHTA,,MHNBC4507G,,ACC00107,ENT00056
REC000172,RETAIL_CBS,Sunita Jian,6085336045,OVUZN4089O,"921, Colony, Patna, Bihar - 299839",ACC00108,ENT00055
REC000173,CORPORATE_BANKING,Sunita Jain & Sons,6085336045,OVUZN4089O,"921, Colony, Patna, Bihar - 299839",ACC00108,ENT00055
REC000174,WATCHLIST,S. Jain,6085336045,OVUZN4089O,"921, Colony, Patna, Bihar - 299839",ACC00108,ENT00055
REC000175,CORPORATE_BANKING,Padma Mahlotra,6973086280,OORSP1793L,"904, Avenue, Hyderabad, Telangana - 674618",ACC00109,ENT00057
REC000176,RETAIL_CBS,Sunita Jain & Sons,6085336045,,"921, Colony, Patna, Bihar - 299839",ACC00110,ENT00055
REC000177,CORPORATE_BANKING,S. Jain,6085336045,OVUZN4089O,,ACC00110,ENT00055
REC000178,RETAIL_CBS,Ajay Mehta,,MHNBC4507G,"383, Colony, Thiruvananthapuram, Kerala - 338257",ACC00111,ENT00056
REC000179,RETAIL_CBS,Anita Snadhu,7004541277,BIXMY1590Z,,ACC00112,ENT00060
REC000180,CORPORATE_BANKING,A. Sandhu,7004541277,BIXMY1590Z,"685, Extension, Chandigarh, Punjab - 425568",ACC00112,ENT00060
REC000181,RETAIL_CBS,Suresh Kaur,8524294543,QADQF9944P,"259, Extension, Patna, Bihar - 695254",ACC00113,ENT00059
REC000182,CORPORATE_BANKING,Kaur Suresh,8524294543,,"259, Extension, Patna, Bihar - 695254",ACC00113,ENT00059
REC000183,RETAIL_CBS,SURESH KAUR,8524294543,,,ACC00114,ENT00059
REC000184,CORPORATE_BANKING,Kaur Suresh,8524294543,,"259, Extension, Patna, Bihar - 695254",ACC00114,ENT00059
REC000185,RETAIL_CBS,R. Kapoor,,ISLHS7482K,"966, Main Road, Surat, Gujarat - 159109",ACC00115,ENT00058
REC000186,WATCHLIST,Rekha Kapoor,,ISLHS7482K,,ACC00115,ENT00058
REC000187,RETAIL_CBS,Rekha Kapoor,8437633222,,"966, Main Road, Surat, Gujarat - 159109",ACC00116,ENT00058
REC000188,RETAIL_CBS,Anita Snadhu,7004541277,,,ACC00117,ENT00060
REC000189,RETAIL_CBS,Gopal Kapoor,,XYLNI6523N,"923, Avenue, Surat, Gujarat - 606658",ACC00118,ENT00063
REC000190,RETAIL_CBS,S. Desai,9132507156,QYDCB3409B,"413, Avenue, Thiruvananthapuram, Kerala - 149120",ACC00119,ENT00061
REC000191,CORPORATE_BANKING,Sandeep Desai & Sons,9132507156,,,ACC00119,ENT00061
REC000192,WATCHLIST,SANDEEP DESAI,9132507156,,"413, Avenue, Thiruvananthapuram, Kerala - 149120",ACC00119,ENT00061
REC000193,RETAIL_CBS,Kiran Tiari,,,"442, Nagar, Madurai, Tamil Nadu - 266632",ACC00120,ENT00062
REC000194,CORPORATE_BANKING,Kiran Tiwari,,TIKKL8217I,,ACC00120,ENT00062
REC000195,RETAIL_CBS,Tiwari Kiran,,TIKKL8217I,"442, Nagar, Madurai, Tamil Nadu - 266632",ACC00121,ENT00062
REC000196,RETAIL_CBS,Swati Segupta,,,"482, Avenue, Kolkata, West Bengal - 303325",ACC00122,ENT00064
REC000197,CORPORATE_BANKING,S. Sengupta,6836708617,,"482, Avenue, Kolkata, West Bengal - 303325",ACC00122,ENT00064
REC000198,RETAIL_CBS,S. Sengupta,6836708617,,,ACC00123,ENT00064
REC000199,CORPORATE_BANKING,Sengupta Swati,,GRWAN0915C,,ACC00123,ENT00064
REC000200,RETAIL_CBS,Sandeep Desia,,QYDCB3409B,"413, Avenue, Thiruvananthapuram, Kerala - 149120",ACC00124,ENT00061
REC000201,RETAIL_CBS,Gopal Kapoor & Sons,,XYLNI6523N,,ACC00125,ENT00063
REC000202,RETAIL_CBS,ZUBAIR KAUR,,RFQKE3358O,"813, Extension, Nagpur, Maharashtra - 476766",ACC00126,ENT00066
REC000203,RETAIL_CBS,Vinod Bose,7224200726,,"473, Colony, Ahmedabad, Gujarat - 591578",ACC00127,ENT00069
REC000204,CORPORATE_BANKING,VINOD BOSE,7224200726,BQDEX0154M,,ACC00127,ENT00069
REC000205,RETAIL_CBS,Zubair Karu,,RFQKE3358O,"813, Extension, Nagpur, Maharashtra - 476766",ACC00128,ENT00066
REC000206,RETAIL_CBS,Aarti Kpaoor,6110634835,,,ACC00129,ENT00070
REC000207,CORPORATE_BANKING,Aarti Kapoor & Sons,,YXCWI1572N,"29, Layout, Bengaluru, Karnataka - 511893",ACC00129,ENT00070
REC000208,RETAIL_CBS,Radha Bhatt,7319698829,ZVNFR8453G,"824, Cross Street, Kochi, Kerala - 198475",ACC00130,ENT00067
REC000209,CORPORATE_BANKING,Radha Bhat,,ZVNFR8453G,,ACC00130,ENT00067
REC000210,RETAIL_CBS,Vinod Bose,7224200726,,"473, Colony, Ahmedabad, Gujarat - 591578",ACC00131,ENT00069
REC000211,CORPORATE_BANKING,V. Bose,7224200726,BQDEX0154M,"473, Colony, Ahmedabad, Gujarat - 591578",ACC00131,ENT00069
REC000212,RETAIL_CBS,Irfan Gill & Sons,,,"432, Avenue, Surat, Gujarat - 221129",ACC00132,ENT00065
REC000213,CORPORATE_BANKING,Irfan Gill,6491019489,SGOOC7334W,"432, Avenue, Surat, Gujarat - 221129",ACC00132,ENT00065
REC000214,WATCHLIST,I. Gill,,SGOOC7334W,,ACC00132,ENT00065
REC000215,RETAIL_CBS,Radha Bhtat,7319698829,ZVNFR8453G,"824, Cross Street, Kochi, Kerala - 198475",ACC00133,ENT00067
REC000216,CORPORATE_BANKING,RADHA BHATT,,ZVNFR8453G,,ACC00133,ENT00067
REC000217,RETAIL_CBS,IRFAN CHATTERJEE,7977297714,,"955, Main Road, Coimbatore, Tamil Nadu - 326048",ACC00134,ENT00068
REC000218,CORPORATE_BANKING,Chatterjee Irfan,,,"955, Main Road, Coimbatore, Tamil Nadu - 326048",ACC00134,ENT00068
REC000219,RETAIL_CBS,Chatterjee Irfan,7977297714,RFCJH8977T,"955, Main Road, Coimbatore, Tamil Nadu - 326048",ACC00135,ENT00068
REC000220,RETAIL_CBS,I. Gill,6491019489,,,ACC00136,ENT00065
REC000221,CORPORATE_BANKING,IRFAN GILL,6491019489,SGOOC7334W,"432, Avenue, Surat, Gujarat - 221129",ACC00136,ENT00065
REC000222,RETAIL_CBS,Imran Sandhu & Sons,8403060303,,"487, Colony, Ahmedabad, Gujarat - 408738",ACC00137,ENT00076
REC000223,RETAIL_CBS,SUNITA YADAV,,,"398, Avenue, Kolkata, West Bengal - 319830",ACC00138,ENT00072
